"Bin","Sites Counts N2","Percentage N2","Sites Counts PRDE1","Percentage PRDE1"
"[0,0]",14593691,90.9580351352015,14186246,91.0935421218134
"(0,0.05]",1056868,6.58713663851524,996654,6.39977222514496
"(0.05,0.1]",307449,1.91623606010862,305846,1.96391599890402
"(0.1,0.15]",43299,0.26986949109167,42529,0.273089671002364
"(0.15,0.2]",25672,0.160005763996983,25265,0.162233077144413
"(0.2,0.25]",7901,0.0492445287215707,7535,0.0483841771732891
"(0.25,0.3]",4030,0.0251177636688938,4012,0.0257620861073969
"(0.3,0.35]",1773,0.0110505694751734,1666,0.0106978154174784
"(0.35,0.4]",1293,0.00805887553942423,1271,0.00816141860481095
"(0.4,0.45]",488,0.00304155550134495,426,0.00273545580302869
"(0.45,0.5]",541,0.00337188837341725,476,0.00305651869070811
"(0.5,0.55]",178,0.00110941983450697,168,0.00107877130260286
"(0.55,0.6]",204,0.00127146992269338,192,0.00123288148868899
"(0.6,0.65]",133,0.000828948528030489,154,0.000988873694052625
"(0.65,0.7]",144,0.00089750818072474,144,0.00092466111651674
"(0.7,0.75]",114,0.000710527309740419,105,0.000674232064126789
"(0.75,0.8]",109,0.000679363831243033,103,0.000661389548619613
"(0.8,0.85]",96,0.000598338787149827,109,0.000699917095141143
"(0.85,0.9]",139,0.000866344702227354,86,0.000552228166808609
"(0.9,0.95]",193,0.00120291026999913,163,0.00104666501383492
"(0.95,1]",107,0.000666898439844078,123,0.000789814703691382
