"Bin","Sites Counts N2","Percentage N2","Sites Counts PRDE1","Percentage PRDE1"
"[0,0.05]",1056868,72.8507214638689,996654,71.8554144944547
"(0.05,0.1]",307449,21.192695268799,305846,22.0504719807185
"(0.1,0.15]",43299,2.98463326419577,42529,3.06619842295788
"(0.15,0.2]",25672,1.76959064085623,25265,1.82152185934376
"(0.2,0.25]",7901,0.544621987122354,7535,0.543248256883247
"(0.25,0.3]",4030,0.277790989508048,4012,0.289251759338499
"(0.3,0.35]",1773,0.122214249230216,1666,0.12011301870836
"(0.35,0.4]",1293,0.0891274812491082,1271,0.0916348420037966
"(0.4,0.45]",488,0.0336382141141259,426,0.0307131728509971
"(0.45,0.5]",541,0.0372915447453732,476,0.0343180053452456
"(0.5,0.55]",178,0.0122696764596607,168,0.0121122371806749
"(0.55,0.6]",204,0.0140618763919707,192,0.0138425567779142
"(0.6,0.65]",133,0.00916779196143186,154,0.0111028840822853
"(0.65,0.7]",144,0.00992603039433224,144,0.0103819175834356
"(0.7,0.75]",114,0.00785810739551302,105,0.00757014823792183
"(0.75,0.8]",109,0.00751345356237649,103,0.00742595493815189
"(0.8,0.85]",96,0.00661735359622149,109,0.00785853483746171
"(0.85,0.9]",139,0.0095813765611957,86,0.0062003118901074
"(0.9,0.95]",193,0.0133036379590703,163,0.0117517539312501
"(0.95,1]",107,0.00737559202912187,123,0.00886788793585129
