# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_disruptive_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
21ur-1	WBGene00045784	Y51H4A.48		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-1001	WBGene00046079	Y57G11C.92		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10014	WBGene00168291	T27E7.50		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10017	WBGene00172597	C08F11.102		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10063	WBGene00169240	F14E12.2		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10065	WBGene00172175	B0513.77		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10124	WBGene00171328	T27E7.63		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10126	WBGene00167985	C08F11.77		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10151	WBGene00170985	Y51H4A.707		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10153	WBGene00174893	F14E12.3		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10183	WBGene00173033	Y73F8A.1026		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10226	WBGene00168888	F13G11.94		0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10230	WBGene00166299	T27E7.44		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10249	WBGene00167414	C02B10.38		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10255	WBGene00171470	B0350.54		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-1030	WBGene00046731	T27E7.18		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10334	WBGene00174449	Y105C5B.1365		0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10350	WBGene00165034	Y51H4A.407		0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
