# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
21ur-10014	WBGene00168291	T27E7.50		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10017	WBGene00172597	C08F11.102		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10052	WBGene00173637	C05C12.8		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10063	WBGene00169240	F14E12.2		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10065	WBGene00172175	B0513.77		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10102	WBGene00170317	C03C10.8		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-10111	WBGene00167412	B0273.56		0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
21ur-10116	WBGene00170805	F28D1.18		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-10124	WBGene00171328	T27E7.63		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-10126	WBGene00167985	C08F11.77		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10142	WBGene00172811	Y57G11A.196		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-10153	WBGene00174893	F14E12.3		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10185	WBGene00174063	C49A9.35		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10215	WBGene00168065	K08B4.19		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-10226	WBGene00168888	F13G11.94		0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
21ur-10230	WBGene00166299	T27E7.44		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-10246	WBGene00172830	H16O14.66		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-10249	WBGene00167414	C02B10.38		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-1030	WBGene00046731	T27E7.18		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10302	WBGene00174247	Y105C5A.1216		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10303	WBGene00167431	F11E6.13		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-10307	WBGene00169441	F13G11.101		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10341	WBGene00174757	C02D4.4		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10350	WBGene00165034	Y51H4A.407		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-10369	WBGene00168695	W03F8.51		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10386	WBGene00171603	H04M03.59		0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
21ur-10392	WBGene00171576	F29G9.8		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10400	WBGene00167054	Y105C5A.660		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10421	WBGene00173335	C02B10.64		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10426	WBGene00173891	K02B2.32		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-10440	WBGene00165057	F55B11.61		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-1046	WBGene00047050	Y105C5A.173		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10461	WBGene00168258	C49A9.25		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10468	WBGene00171942	Y37A1A.120		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-10469	WBGene00167101	Y7A9D.37		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-1048	WBGene00046810	F44E8.9		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10495	WBGene00171231	K08B4.27		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-10508	WBGene00172644	Y57G11C.980		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-10526	WBGene00167852	W03F8.43		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-10539	WBGene00168817	Y11D7A.20		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10567	WBGene00172580	Y105C5A.1096		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10571	WBGene00167740	Y105C5A.702		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10581	WBGene00166041	F37C12.19		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10622	WBGene00172867	F44E8.35		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-10627	WBGene00165845	T27E7.42		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-10633	WBGene00174590	Y57G11A.221		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10637	WBGene00172470	Y57G11A.191		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-10641	WBGene00169756	Y105C5A.871		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10677	WBGene00172399	W03F8.61		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10679	WBGene00170983	C26F1.12		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
