# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_disruptive_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
21ur-10014	WBGene00168291	T27E7.50		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10017	WBGene00172597	C08F11.102		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-10102	WBGene00170317	C03C10.8		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-1011	WBGene00048769	Y73F8A.309		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10124	WBGene00171328	T27E7.63		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10126	WBGene00167985	C08F11.77		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-10148	WBGene00173802	Y51H4A.872		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10181	WBGene00166079	Y73F8A.576		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10220	WBGene00165508	Y57G11C.526		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10226	WBGene00168888	F13G11.94		0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10230	WBGene00166299	T27E7.44		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10249	WBGene00167414	C02B10.38		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10281	WBGene00170440	Y73F8A.839		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-1030	WBGene00046731	T27E7.18		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10303	WBGene00167431	F11E6.13		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-1034	WBGene00049375	Y43D4A.52		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-10341	WBGene00174757	C02D4.4		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10392	WBGene00171576	F29G9.8		0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10421	WBGene00173335	C02B10.64		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10457	WBGene00168876	Y57G11A.145		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10469	WBGene00167101	Y7A9D.37		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10471	WBGene00171355	Y105C5A.998		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-1048	WBGene00046810	F44E8.9		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10480	WBGene00166294	Y57G11C.573		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10508	WBGene00172644	Y57G11C.980		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-10509	WBGene00168169	Y73F8A.704		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10530	WBGene00169956	C46G7.75		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10556	WBGene00166467	Y73F8A.602		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-1057	WBGene00050382	Y37A1B.143		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10572	WBGene00172857	Y43D4A.135		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-10580	WBGene00167551	Y57G11A.127		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10581	WBGene00166041	F37C12.19		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10597	WBGene00169431	Y57G11A.151		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-1061	WBGene00050670	Y105C5A.497		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10622	WBGene00172867	F44E8.35		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10627	WBGene00165845	T27E7.42		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-1066	WBGene00046686	Y51H4A.103		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10667	WBGene00165557	Y51H4A.430		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10676	WBGene00170452	Y73F8A.841		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10697	WBGene00173074	F13G11.128		0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10705	WBGene00167773	Y73F8A.676		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10711	WBGene00173028	Y57G11A.198		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10721	WBGene00170714	Y105C5A.954		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10739	WBGene00169069	F57H12.8		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10749	WBGene00171151	Y73F8A.896		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10759	WBGene00171765	Y57G11A.177		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10763	WBGene00173969	Y7A9D.59		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10764	WBGene00169692	Y105C5A.867		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10766	WBGene00173388	Y57G11C.1027		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10773	WBGene00172527	C52D10.109		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10785	WBGene00168552	M88.8		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10821	WBGene00169386	Y116A8B.56		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10822	WBGene00170825	C46G7.82		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10833	WBGene00173731	Y45F10D.127		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10892	WBGene00167048	T27E7.47		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-109	WBGene00047242	Y105C5A.188		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10927	WBGene00169538	C52E4.10		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10947	WBGene00171833	Y57G11A.182		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10948	WBGene00165116	Y45F10D.61		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-1095	WBGene00049942	Y37A1B.130		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10951	WBGene00174845	C52D10.128		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10957	WBGene00167321	Y73F8A.649		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11006	WBGene00166906	Y51H4A.505		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11018	WBGene00174241	F44E8.40		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11029	WBGene00170135	Y37A1B.245		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11047	WBGene00167119	Y51H4A.518		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11058	WBGene00168800	Y7A9D.43		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11092	WBGene00170242	Y10G11A.59		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11100	WBGene00171678	R06C7.11		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11101	WBGene00173486	T05A1.15		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11102	WBGene00171903	Y57G11A.184		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11105	WBGene00173944	C44A5.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11115	WBGene00167851	Y45F10D.78		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11116	WBGene00171043	Y105C5A.980		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11118	WBGene00170185	M03D4.52		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11126	WBGene00169577	Y116A8B.59		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11130	WBGene00168422	Y73B6BL.143		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11138	WBGene00172742	Y37A1B.297		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-1115	WBGene00049781	Y57G11A.72		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11152	WBGene00171014	F44E8.34		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11158	WBGene00167925	ZK1131.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11165	WBGene00171718	C13B4.4		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11168	WBGene00168265	F52B11.58		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11169	WBGene00172572	Y57G11C.978		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-11184	WBGene00170675	Y45F10D.105		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-1122	WBGene00048602	Y57G11C.302		0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11225	WBGene00169030	Y73F8A.751		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11260	WBGene00165797	Y116A8B.41		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11261	WBGene00171311	F41H10.27		0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11268	WBGene00171477	F13G11.111		0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11275	WBGene00167709	Y110A7A.22		0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11285	WBGene00165793	Y73F8A.555		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11300	WBGene00165420	Y57G11A.89		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11316	WBGene00165660	F52B11.45		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-1133	WBGene00048538	Y51H4A.240		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-11344	WBGene00172506	C08H9.17		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-1139	WBGene00048951	Y7A9D.18		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-114	WBGene00046756	Y116A8B.10		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11403	WBGene00168703	C01B10.23		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-11417	WBGene00166713	F44E8.19		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-1142	WBGene00050659	Y105C5A.494		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11428	WBGene00170223	Y51H4A.674		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11438	WBGene00172658	K08E4.9		0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11450	WBGene00169244	Y116A8B.55		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11455	WBGene00168655	Y43D4A.107		0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11461	WBGene00168807	Y7A9D.44		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11486	WBGene00165087	ZK550.22		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11498	WBGene00165884	Y73F8A.564		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11504	WBGene00173927	Y51H4A.878		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11525	WBGene00168026	T27E7.49		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11546	WBGene00168737	T22D1.14		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11554	WBGene00170532	C25A8.8		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11559	WBGene00172909	F44E8.36		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11573	WBGene00166580	Y73F8A.609		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11589	WBGene00172446	Y73F8A.981		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11598	WBGene00170593	Y73F8A.852		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11615	WBGene00167205	Y57G11A.117		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11621	WBGene00167074	Y57G11A.116		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-1164	WBGene00046854	Y105C5A.156		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11653	WBGene00171505	ZC513.13		0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11683	WBGene00173761	Y105C5A.1179		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11689	WBGene00167954	Y57G11A.132		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11726	WBGene00169924	T27E7.56		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11729	WBGene00173417	Y43D4A.141		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-11750	WBGene00173220	Y37A1B.308		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11753	WBGene00174177	Y105C5A.1209		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11757	WBGene00167125	Y73F8A.638		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11776	WBGene00169549	Y105C5A.858		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11787	WBGene00173742	Y73F8A.1070		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11797	WBGene00168225	Y73F8A.707		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
