# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
21ur-10014	WBGene00168291	T27E7.50		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10024	WBGene00174173	F36A4.19		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10097	WBGene00171378	F02H6.64		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10124	WBGene00171328	T27E7.63		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10142	WBGene00172811	Y57G11A.196		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10156	WBGene00173363	Y37A1B.310		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10164	WBGene00174506	K01G12.21		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-1019	WBGene00046538	F02H6.14		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10215	WBGene00168065	K08B4.19		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10226	WBGene00168888	F13G11.94		0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10230	WBGene00166299	T27E7.44		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10246	WBGene00172830	H16O14.66		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10273	WBGene00167149	F02H6.46		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-1030	WBGene00046731	T27E7.18		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10303	WBGene00167431	F11E6.13		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10309	WBGene00170543	F02H6.59		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-1034	WBGene00049375	Y43D4A.52		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-10341	WBGene00174757	C02D4.4		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-1041	WBGene00049470	Y105C5B.449		0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
21ur-1042	WBGene00046084	C06E7.12		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10440	WBGene00165057	F55B11.61		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10457	WBGene00168876	Y57G11A.145		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-1048	WBGene00046810	F44E8.9		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10495	WBGene00171231	K08B4.27		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10508	WBGene00172644	Y57G11C.980		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-10520	WBGene00166055	F25F8.3		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10542	WBGene00169574	F02H6.55		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10554	WBGene00165336	Y73B6BL.87		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10572	WBGene00172857	Y43D4A.135		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-10580	WBGene00167551	Y57G11A.127		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10581	WBGene00166041	F37C12.19		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-10597	WBGene00169431	Y57G11A.151		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10600	WBGene00166002	F02H6.40		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10622	WBGene00172867	F44E8.35		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10627	WBGene00165845	T27E7.42		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10633	WBGene00174590	Y57G11A.221		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10637	WBGene00172470	Y57G11A.191		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10644	WBGene00169495	F55B11.98		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10649	WBGene00165830	F02H6.36		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10677	WBGene00172399	W03F8.61		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10679	WBGene00170983	C26F1.12		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10685	WBGene00169909	Y57G11A.164		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10695	WBGene00170588	H16O14.47		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10697	WBGene00173074	F13G11.128		0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10711	WBGene00173028	Y57G11A.198		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10714	WBGene00173730	Y105C5B.1298		0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10745	WBGene00173451	Y41E3.431		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10747	WBGene00167031	K01G12.11		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10759	WBGene00171765	Y57G11A.177		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
